Start,Finish,Steps (count)
29-Jun-2018 09:00,29-Jun-2018 10:00,41.1039570939823
29-Jun-2018 10:00,29-Jun-2018 11:00,0.0
29-Jun-2018 11:00,29-Jun-2018 12:00,672.11466424567
29-Jun-2018 12:00,29-Jun-2018 13:00,1253.45077208231
29-Jun-2018 13:00,29-Jun-2018 14:00,476.434563672024
29-Jun-2018 14:00,29-Jun-2018 15:00,0.0
29-Jun-2018 15:00,29-Jun-2018 16:00,0.0
29-Jun-2018 16:00,29-Jun-2018 17:00,0.0
29-Jun-2018 17:00,29-Jun-2018 18:00,1535.66742991997
29-Jun-2018 18:00,29-Jun-2018 19:00,979.317000648812
29-Jun-2018 19:00,29-Jun-2018 20:00,29.0155694312134
29-Jun-2018 20:00,29-Jun-2018 21:00,402.0
29-Jun-2018 21:00,29-Jun-2018 22:00,1087.0
29-Jun-2018 22:00,29-Jun-2018 23:00,133.0
29-Jun-2018 23:00,30-Jun-2018 00:00,38.6393656290328
30-Jun-2018 00:00,30-Jun-2018 01:00,4.36063437096717
30-Jun-2018 01:00,30-Jun-2018 02:00,14.0
30-Jun-2018 02:00,30-Jun-2018 03:00,0.0
30-Jun-2018 03:00,30-Jun-2018 04:00,0.0
30-Jun-2018 04:00,30-Jun-2018 05:00,0.0
30-Jun-2018 05:00,30-Jun-2018 06:00,0.0
30-Jun-2018 06:00,30-Jun-2018 07:00,0.0
30-Jun-2018 07:00,30-Jun-2018 08:00,0.0
30-Jun-2018 08:00,30-Jun-2018 09:00,9.0
30-Jun-2018 09:00,30-Jun-2018 10:00,0.0
30-Jun-2018 10:00,30-Jun-2018 11:00,0.0
30-Jun-2018 11:00,30-Jun-2018 12:00,0.0
30-Jun-2018 12:00,30-Jun-2018 13:00,0.0
30-Jun-2018 13:00,30-Jun-2018 14:00,0.0
30-Jun-2018 14:00,30-Jun-2018 15:00,0.0
30-Jun-2018 15:00,30-Jun-2018 16:00,525.27907881781
30-Jun-2018 16:00,30-Jun-2018 17:00,1546.72092118219
30-Jun-2018 17:00,30-Jun-2018 18:00,98.0
